Variable:,pr
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Russia,464.94,22.76,18.71,21.36,25.28,39.18,55.37,67.61,65.77,49.14,40.69,32.32,26.75
"Sakha Rep.",305.87,10.50,8.80,9.20,12.50,27.20,43.29,56.25,50.40,35.91,24.01,16.62,11.18
"Ryazanskaya Oblast",576.79,40.31,36.80,32.10,35.09,47.06,63.58,68.31,54.64,52.53,52.95,44.24,49.18
"Evenkiyskiy Okrug",432.10,19.05,15.85,18.48,24.55,35.97,51.94,59.98,65.34,45.40,40.86,30.87,23.82
"Pskovskaya Oblast",670.84,45.56,38.86,35.69,36.29,59.67,78.12,78.82,77.39,58.70,62.47,51.98,47.29
"Dagestan Rep.",543.76,25.13,28.45,39.34,48.14,72.91,73.35,55.97,44.53,47.51,44.83,35.88,27.73
"Primorskiy Kray",792.28,17.83,15.71,32.25,49.57,81.43,91.93,137.89,136.54,96.60,64.28,42.58,25.68
"Chuvashiya Rep.",561.08,40.33,31.70,33.91,33.51,42.62,63.46,63.99,61.20,51.75,51.13,43.13,44.36
"Permskaya Oblast",681.28,44.81,32.91,39.29,39.65,56.34,79.97,77.54,80.74,64.60,62.82,55.85,46.77
"Chukotskiy Okrug",312.35,19.28,19.68,18.37,14.32,16.53,25.29,38.59,45.22,31.76,30.27,31.80,21.25
"Penzenskaya Oblast",531.02,42.15,34.62,34.98,32.34,47.69,57.10,54.75,46.96,48.52,44.62,43.06,44.23
"Chitinskaya Oblast",401.30,3.05,2.52,5.30,15.88,36.76,70.67,101.94,88.19,48.86,14.33,8.48,5.31
"Orlovskaya Oblast",620.65,41.68,38.10,40.09,38.93,59.88,66.25,79.18,49.45,56.14,54.92,44.74,51.30
"Orenburgskaya Oblast",384.98,30.25,25.16,28.04,28.08,33.79,41.01,41.49,30.44,28.21,34.24,31.33,32.95
"Omskaya Oblast",433.86,21.17,16.74,19.00,24.50,34.43,58.44,65.01,61.61,38.77,33.36,33.06,27.77
"Novosibirskaya Oblast",431.31,21.95,17.64,18.27,22.87,32.88,56.10,63.87,56.92,39.86,36.37,35.27,29.30
"Kaliningradskaya Oblast",727.00,54.08,42.25,39.98,33.63,52.72,66.47,87.10,84.52,69.14,74.59,63.83,58.70
"Kabardino-balkariya Rep.",808.86,48.73,45.15,58.52,73.71,108.95,116.95,83.60,61.30,60.17,55.97,48.58,47.21
"Ivanovskaya Oblast",609.11,43.01,34.14,31.56,33.63,45.60,68.90,70.16,67.78,55.89,61.67,48.55,48.22
"Irkutskaya Oblast",417.97,14.05,11.12,12.01,20.03,37.62,59.06,76.75,71.07,46.42,27.59,23.16,19.08
"Ingushetiya Rep.",765.51,37.68,36.92,54.74,70.85,109.14,115.68,84.88,60.36,58.70,50.55,45.09,40.92
"Rostovskaya Oblast",486.54,40.52,36.25,37.89,34.46,51.06,48.07,46.45,30.98,37.18,38.51,37.98,47.20
"Taymyrskiy Okrug",330.13,20.44,17.24,17.95,19.19,22.24,31.56,42.55,44.04,35.13,33.75,24.24,21.79
"Tatarstan Rep.",549.41,41.22,32.32,34.94,32.76,41.99,61.00,59.75,59.02,48.27,51.02,43.95,43.17
"Tambovskaya Oblast",531.06,38.45,35.77,34.46,30.00,50.10,55.87,63.10,40.12,48.22,46.56,42.32,46.11
"Kemerovskaya Oblast",537.10,23.32,18.03,22.41,32.24,48.02,69.33,72.56,65.67,55.99,46.16,44.44,38.92
"Sverdlovskaya Oblast",563.25,29.18,22.14,27.52,31.45,50.14,74.28,82.11,77.73,56.55,43.51,37.06,31.57
"Karelya Rep.",618.58,41.09,32.44,32.42,30.98,47.70,62.71,77.31,72.96,60.93,59.67,51.89,48.47
"Stavropolskiy Kray",495.65,28.55,25.58,34.29,41.63,63.95,70.97,51.40,37.82,40.03,37.97,32.17,31.29
"Karatchayevo-cherkesiya Rep.",959.28,70.48,62.69,75.37,82.75,114.20,118.36,87.36,67.76,70.16,73.89,68.66,67.60
"Smolenskaya Oblast",693.53,47.44,41.88,41.98,37.81,62.79,73.90,90.23,68.80,59.34,65.05,53.01,51.32
"Kamchatskaya Oblast",789.98,58.97,45.97,62.59,47.30,43.85,54.72,63.97,82.96,85.18,103.48,83.16,57.82
"Severnaya Osetiya-alaniya Rep.",853.94,48.45,45.14,62.84,79.10,116.05,122.42,92.64,64.61,64.00,58.21,50.79,49.69
"Kaluzhskaya Oblast",680.76,47.08,41.68,40.78,38.23,62.41,71.74,86.31,64.15,58.12,63.13,51.04,56.09
"Saratovskaya Oblast",433.96,37.80,30.02,32.32,29.64,38.57,43.71,39.82,32.70,40.47,36.03,35.12,37.74
"Kalmykiya Rep.",307.33,20.30,18.20,21.58,24.11,37.53,37.88,30.28,20.55,26.26,24.44,22.23,23.98
Sankt-peterburg,680.13,50.04,39.50,36.36,34.98,45.71,71.07,77.85,81.63,57.97,70.99,58.16,55.86
"Samarskaya Oblast",501.19,42.08,33.58,36.84,34.05,36.37,52.83,49.92,42.94,42.43,45.10,41.35,43.71
"Sakhalinskaya Oblast",800.05,46.44,32.20,44.58,52.15,66.47,66.15,73.52,98.53,97.98,94.61,67.35,60.08
"Kirovskaya Oblast",628.14,42.55,31.64,36.89,35.21,48.79,71.23,75.40,70.83,58.35,60.75,50.19,46.31
"Khanty-mansyiskiy Okrug",546.78,27.42,21.92,26.99,32.23,45.98,66.88,69.58,79.42,56.55,48.55,39.25,32.01
"Khakasiya Rep.",517.91,16.14,14.09,20.68,35.79,49.84,67.07,81.04,71.78,55.67,39.67,36.29,29.85
"Khabarovskiy Kray",610.02,14.51,10.06,19.29,33.21,61.30,74.33,107.65,108.20,79.72,54.17,28.55,19.02
"Bryanskaya Oblast",621.07,40.63,37.91,38.56,36.29,62.14,65.33,85.22,53.46,53.18,54.38,46.84,47.10
"Vologodskaya Oblast",646.68,45.10,34.01,34.07,33.88,49.01,71.06,77.30,74.36,59.34,64.66,54.99,48.90
"Belgorodskaya Oblast",549.20,41.14,36.83,37.95,34.64,54.25,61.22,63.90,40.90,48.78,46.04,38.94,44.60
"Volgogradskaya Oblast",390.31,32.88,27.79,28.36,25.83,40.48,39.19,38.27,26.03,35.16,31.13,30.27,34.93
"Bashkortostan Rep.",501.85,35.16,28.15,32.07,30.82,44.25,58.71,57.61,54.02,41.09,44.19,38.50,37.27
"Vladimirskaya Oblast",620.49,44.65,37.83,33.04,35.76,46.93,68.53,72.60,66.32,55.87,60.60,48.32,50.04
"Astrakhanskaya Oblast",257.09,19.30,16.11,19.57,24.77,27.95,25.39,20.48,16.84,23.88,22.61,18.93,21.27
"Ustordynskiy Buryatskiy Okrug",476.19,12.23,9.37,12.67,22.34,39.27,67.94,99.53,94.11,56.29,23.83,20.04,18.57
