Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Russia,-3.99,-23.86,-21.51,-13.53,-3.64,5.21,12.76,15.94,13.38,6.88,-2.75,-14.75,-21.94
"Sakha Rep.",-11.89,-38.02,-34.78,-24.26,-10.69,1.36,11.33,14.67,10.96,2.89,-10.76,-28.24,-37.17
"Ryazanskaya Oblast",5.98,-8.01,-7.81,-2.34,7.25,14.42,18.01,19.92,18.50,12.88,6.01,-1.18,-5.87
"Evenkiyskiy Okrug",-8.60,-31.49,-28.04,-17.99,-7.84,1.09,11.12,15.39,11.52,3.52,-7.43,-22.86,-30.24
"Pskovskaya Oblast",6.08,-5.62,-5.38,-0.89,6.32,12.27,15.86,18.28,17.05,11.99,5.91,0.56,-3.46
"Dagestan Rep.",8.26,-4.98,-3.88,1.02,7.68,13.65,18.82,21.49,21.15,16.06,9.23,1.94,-3.12
"Primorskiy Kray",2.83,-14.73,-11.71,-4.81,3.57,9.47,13.58,17.61,18.31,13.73,6.05,-4.20,-12.96
"Chuvashiya Rep.",5.01,-10.07,-9.43,-3.43,6.11,13.94,18.00,20.17,18.24,12.30,5.02,-2.71,-8.06
"Permskaya Oblast",1.94,-14.33,-12.63,-5.22,3.11,10.59,15.64,17.98,14.96,9.41,2.45,-6.45,-12.26
"Chukotskiy Okrug",-9.62,-26.29,-25.59,-22.25,-14.87,-3.32,6.15,9.68,7.55,2.22,-7.49,-17.00,-24.21
"Penzenskaya Oblast",5.92,-8.96,-8.74,-2.96,7.33,14.80,18.76,20.79,19.33,13.29,6.01,-1.70,-6.97
"Chitinskaya Oblast",-4.32,-27.79,-22.50,-13.23,-1.29,7.15,14.03,16.93,14.33,7.01,-3.24,-16.92,-26.38
"Orlovskaya Oblast",6.55,-6.78,-6.46,-1.20,7.73,14.42,17.95,19.81,18.82,13.06,6.39,-0.33,-4.75
"Orenburgskaya Oblast",5.12,-12.58,-12.08,-4.76,7.10,15.28,20.05,22.07,20.31,13.84,5.84,-3.37,-10.28
"Omskaya Oblast",1.77,-17.58,-15.43,-7.12,4.58,11.88,17.63,19.13,16.70,10.54,3.24,-7.64,-14.70
"Novosibirskaya Oblast",1.97,-17.38,-14.97,-6.97,4.08,11.99,18.06,19.59,17.13,10.81,3.37,-7.52,-14.57
"Kaliningradskaya Oblast",8.02,-2.29,-1.54,2.10,7.66,12.62,16.09,18.46,18.15,13.65,8.23,3.51,-0.37
"Kabardino-balkariya Rep.",5.06,-8.29,-7.27,-1.93,5.26,10.66,14.83,17.57,17.58,12.69,6.49,-0.69,-6.20
"Ivanovskaya Oblast",5.12,-8.80,-8.08,-2.47,5.95,13.21,17.04,19.28,17.31,11.76,5.01,-2.06,-6.68
"Irkutskaya Oblast",-4.16,-26.87,-22.45,-12.75,-1.64,6.46,14.38,17.22,13.99,6.47,-3.08,-16.28,-25.39
"Ingushetiya Rep.",7.68,-5.78,-4.47,0.80,7.64,13.17,17.81,20.56,20.39,15.39,8.87,1.61,-3.79
"Rostovskaya Oblast",10.12,-3.98,-3.38,2.25,10.79,17.30,21.71,24.09,23.35,17.45,10.21,3.28,-1.67
"Taymyrskiy Okrug",-12.00,-31.87,-30.70,-23.81,-15.38,-5.52,5.43,11.28,8.65,1.52,-10.41,-23.89,-29.29
"Tatarstan Rep.",4.59,-11.28,-10.46,-4.01,5.79,13.97,18.17,20.24,18.22,12.24,4.92,-3.40,-9.27
"Tambovskaya Oblast",6.62,-7.69,-7.52,-1.93,8.06,15.18,18.97,20.74,19.51,13.73,6.62,-0.70,-5.59
"Kemerovskaya Oblast",1.51,-17.83,-14.93,-6.65,3.50,10.80,17.71,19.07,16.64,10.42,2.37,-7.87,-15.08
"Sverdlovskaya Oblast",1.72,-15.55,-13.51,-5.25,3.31,10.74,16.08,18.27,15.30,9.52,2.45,-7.23,-13.53
"Karelya Rep.",2.56,-9.80,-9.89,-4.98,1.11,7.59,13.07,16.33,14.36,9.46,2.95,-2.70,-6.73
"Stavropolskiy Kray",10.68,-2.77,-1.77,3.63,10.89,16.69,21.36,23.80,23.38,17.96,11.33,4.28,-0.63
"Karatchayevo-cherkesiya Rep.",4.37,-8.42,-7.42,-2.33,4.47,9.60,13.38,16.14,16.31,11.71,5.98,-0.75,-6.28
"Smolenskaya Oblast",6.12,-6.47,-5.86,-1.00,6.87,13.21,16.66,18.78,17.56,12.17,5.97,-0.11,-4.36
"Kamchatskaya Oblast",-1.67,-14.25,-13.54,-9.49,-4.31,1.82,6.73,10.69,10.80,7.57,1.53,-5.94,-11.60
"Severnaya Osetiya-alaniya Rep.",6.08,-7.49,-6.22,-0.85,6.20,11.61,15.96,18.76,18.76,13.83,7.51,0.26,-5.36
"Kaluzhskaya Oblast",6.20,-6.69,-6.21,-1.12,7.08,13.66,17.24,19.22,18.01,12.38,6.00,-0.44,-4.73
"Saratovskaya Oblast",7.09,-8.60,-8.38,-2.23,8.53,16.47,20.64,22.67,21.28,14.90,7.35,-0.93,-6.63
"Kalmykiya Rep.",10.87,-3.77,-3.07,2.91,11.22,18.07,23.24,25.55,24.56,18.52,11.27,3.50,-1.50
Sankt-peterburg,5.77,-5.59,-5.85,-1.52,4.91,11.20,15.60,18.46,16.84,11.95,5.74,0.59,-3.13
"Samarskaya Oblast",5.72,-10.57,-9.97,-3.38,7.24,15.42,19.58,21.58,19.94,13.74,6.09,-2.45,-8.54
"Sakhalinskaya Oblast",0.60,-14.66,-13.58,-7.91,-0.47,5.14,9.73,13.84,15.33,11.88,4.81,-4.55,-12.32
"Kirovskaya Oblast",3.37,-11.97,-10.79,-4.22,4.23,11.85,16.51,18.92,16.19,10.46,3.41,-4.37,-9.74
"Khanty-mansyiskiy Okrug",-1.46,-20.01,-17.84,-8.96,-1.22,6.66,14.16,17.12,13.74,7.75,-0.18,-11.29,-17.47
"Khakasiya Rep.",-0.41,-20.50,-17.60,-8.77,2.24,9.03,15.36,17.34,14.84,9.16,0.64,-9.45,-17.20
"Khabarovskiy Kray",-5.11,-26.80,-23.52,-14.77,-3.74,4.68,10.99,14.71,13.72,7.87,-2.30,-16.26,-25.86
"Bryanskaya Oblast",7.25,-5.60,-4.94,0.10,8.32,14.63,18.09,20.01,18.96,13.41,6.97,0.75,-3.73
